name,type,district,lat,lon,services_text,beds,capability_score
Facility_1,PHC,Guntur,15.243685,79.759128,"Offers maternal delivery services, neonatal ICU, and vaccination programs.",6,100.0
Facility_2,CHC,Warangal,17.594433,78.384796,Runs 24x7 emergency obstetric care with referral services.,30,0.0
Facility_3,Medical College,Kurnool,17.26684,80.777117,"Provides prenatal checkups, postnatal care, and immunization drives.",300,0.0
Facility_4,Medical College,Nizamabad,16.010265,80.317122,"Provides OB-GYN services, emergency care, and community health camps.",300,100.0
Facility_5,Medical College,Nellore,18.263616,78.108745,Runs 24x7 emergency obstetric care with referral services.,300,0.0
Facility_6,PHC,Nellore,15.775239,80.155124,Runs 24x7 emergency obstetric care with referral services.,6,0.0
Facility_7,PHC,Hyderabad,18.41958,80.745629,"Provides OB-GYN services, emergency care, and community health camps.",6,100.0
Facility_8,PHC,Guntur,17.533092,78.818947,Conducts high-risk pregnancy monitoring and telemedicine consultations.,6,100.0
Facility_9,Medical College,Warangal,15.303402,79.784993,Runs 24x7 emergency obstetric care with referral services.,300,0.0
Facility_10,PHC,Hyderabad,16.713505,81.310642,"Provides prenatal checkups, postnatal care, and immunization drives.",6,0.0
Facility_11,CHC,Nellore,15.204847,79.172658,"Provides prenatal checkups, postnatal care, and immunization drives.",30,0.0
Facility_12,PHC,Guntur,16.894779,78.234948,"Offers maternal delivery services, neonatal ICU, and vaccination programs.",6,100.0
Facility_13,Medical College,Khammam,15.66925,81.334377,Runs 24x7 emergency obstetric care with referral services.,300,0.0
Facility_14,PHC,Warangal,17.500725,78.026557,Runs 24x7 emergency obstetric care with referral services.,6,0.0
Facility_15,Medical College,Kurnool,17.741575,80.398421,Conducts high-risk pregnancy monitoring and telemedicine consultations.,300,100.0
Facility_16,PHC,Visakhapatnam,16.521379,78.1908,"Provides OB-GYN services, emergency care, and community health camps.",6,100.0
Facility_17,Hospital,Warangal,18.206508,79.466089,"Provides OB-GYN services, emergency care, and community health camps.",150,100.0
Facility_18,Hospital,Nellore,17.33348,78.321313,"Provides OB-GYN services, emergency care, and community health camps.",150,100.0
Facility_19,CHC,Visakhapatnam,16.410532,78.162665,"Provides OB-GYN services, emergency care, and community health camps.",30,100.0
Facility_20,Hospital,Karimnagar,17.896712,78.227028,Runs 24x7 emergency obstetric care with referral services.,150,0.0
