name,district,state,description,focus_areas,lat,lon,capability_score
NGO_1,Warangal,Telangana,"NGO working on telemedicine services, maternal health across rural and semi-urban communities.","Telemedicine Services, Maternal Health",18.28904,80.022541,100.0
NGO_2,Visakhapatnam,Andhra Pradesh,"NGO working on maternal health, neonatal care across rural and semi-urban communities.","Maternal Health, Neonatal Care",16.343034,79.156465,100.0
NGO_3,Warangal,Telangana,"NGO working on community midwife training, high-risk pregnancy support across rural and semi-urban communities.","Community Midwife Training, High-Risk Pregnancy Support",18.462003,78.528947,100.0
NGO_4,Guntur,Andhra Pradesh,"NGO working on community midwife training, rural health outreach across rural and semi-urban communities.","Community Midwife Training, Rural Health Outreach",15.689421,78.641562,100.0
NGO_5,Karimnagar,Telangana,"NGO working on rural health outreach, telemedicine services across rural and semi-urban communities.","Rural Health Outreach, Telemedicine Services",17.446829,79.981045,1.0
NGO_6,Nellore,Andhra Pradesh,"NGO working on immunization programs, breastfeeding & nutrition across rural and semi-urban communities.","Immunization Programs, Breastfeeding & Nutrition",16.088143,81.121111,0.0
NGO_7,Warangal,Telangana,"NGO working on neonatal care, community midwife training across rural and semi-urban communities.","Neonatal Care, Community Midwife Training",16.486382,80.165315,100.0
NGO_8,Kurnool,Andhra Pradesh,"NGO working on telemedicine services, neonatal care across rural and semi-urban communities.","Telemedicine Services, Neonatal Care",15.91792,79.798077,100.0
NGO_9,Warangal,Telangana,"NGO working on high-risk pregnancy support, rural health outreach across rural and semi-urban communities.","High-Risk Pregnancy Support, Rural Health Outreach",15.931961,80.580532,100.0
NGO_10,Visakhapatnam,Andhra Pradesh,"NGO working on immunization programs, high-risk pregnancy support across rural and semi-urban communities.","Immunization Programs, High-Risk Pregnancy Support",18.142666,78.20098,100.0
NGO_11,Karimnagar,Telangana,"NGO working on telemedicine services, maternal health across rural and semi-urban communities.","Telemedicine Services, Maternal Health",18.188403,80.419484,100.0
NGO_12,Nellore,Andhra Pradesh,"NGO working on high-risk pregnancy support, telemedicine services across rural and semi-urban communities.","High-Risk Pregnancy Support, Telemedicine Services",15.025994,81.592438,100.0
NGO_13,Khammam,Telangana,"NGO working on telemedicine services, immunization programs across rural and semi-urban communities.","Telemedicine Services, Immunization Programs",16.574641,81.766486,0.0
NGO_14,Nellore,Andhra Pradesh,"NGO working on rural health outreach, immunization programs across rural and semi-urban communities.","Rural Health Outreach, Immunization Programs",15.754851,80.700768,0.0
NGO_15,Warangal,Telangana,"NGO working on high-risk pregnancy support, telemedicine services across rural and semi-urban communities.","High-Risk Pregnancy Support, Telemedicine Services",17.814283,81.383097,100.0
NGO_16,Guntur,Andhra Pradesh,"NGO working on telemedicine services, maternal health across rural and semi-urban communities.","Telemedicine Services, Maternal Health",15.623377,81.970038,100.0
NGO_17,Hyderabad,Telangana,"NGO working on breastfeeding & nutrition, community midwife training across rural and semi-urban communities.","Breastfeeding & Nutrition, Community Midwife Training",17.464089,79.537963,100.0
NGO_18,Nellore,Andhra Pradesh,"NGO working on neonatal care, high-risk pregnancy support across rural and semi-urban communities.","Neonatal Care, High-Risk Pregnancy Support",17.986473,78.677207,100.0
NGO_19,Nizamabad,Telangana,"NGO working on breastfeeding & nutrition, high-risk pregnancy support across rural and semi-urban communities.","Breastfeeding & Nutrition, High-Risk Pregnancy Support",17.17777,79.793819,100.0
NGO_20,Visakhapatnam,Andhra Pradesh,"NGO working on telemedicine services, neonatal care across rural and semi-urban communities.","Telemedicine Services, Neonatal Care",16.69254,81.7087,100.0
NGO_21,Warangal,Telangana,"NGO working on neonatal care, maternal health across rural and semi-urban communities.","Neonatal Care, Maternal Health",16.938247,79.553066,100.0
